Hotel,City,Address,Contact,Room Type,Total Rooms,Sunday_Tariff,Monday_Tariff,Tuesday_Tariff,Wednesday_Tariff,Thursday_Tariff,Friday_Tariff,Saturday_Tariff
"JANNARAM,HARITHA HOTEL",JANNARAM,"Haritha Hotel Jannaram, Jannaram, Mancherial District, Telangana",9133051007,NON A/C COTTAGES,2,1050,950,950,950,950,1050,1050
KAKATIYA,WARANGAL,"Haritha Hotel Kakatiya, Nakkalagutta, Hanmakonda, Warangal District, Telangana",9951022203,A/C SUITE,5,2750,2750,2750,2750,2750,2750,2750
KAKATIYA,WARANGAL,"Haritha Hotel Kakatiya, Nakkalagutta, Hanmakonda, Warangal District, Telangana",9951022203,A/C DELUXE,48,1850,1850,1850,1850,1850,1850,1850
KALESHWARAM HARITHA HOTEL,KALESHWARAM,"Haritha Hotel Kaleshwaram, Kaleshwaram, Bhupalpally District, Telangana",9951239018,A/C STANDARD,11,1600,1300,1300,1300,1300,1600,1600
KALESHWARAM HARITHA HOTEL,KALESHWARAM,"Haritha Hotel Kaleshwaram, Kaleshwaram, Bhupalpally District, Telangana",9951239018,NON A/C ROOM,5,999,800,800,800,800,999,999
KALESHWARAM HARITHA HOTEL,KALESHWARAM,"Haritha Hotel Kaleshwaram, Kaleshwaram, Bhupalpally District, Telangana",9951239018,A/C DELUXE,3,1800,1500,1500,1500,1500,1800,1800
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,"Haritha Hotel Keesaragutta, Keesaragutta, Medchal - Malkajgiri District, Telangana",9010077395,NON A/C DORMITORY,1,1050,1050,1050,1050,1050,1050,1050
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,"Haritha Hotel Keesaragutta, Keesaragutta, Medchal - Malkajgiri District, Telangana",9010077395,NON A/C ROOM,9,1150,1150,1150,1150,1150,1150,1150
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,"Haritha Hotel Keesaragutta, Keesaragutta, Medchal - Malkajgiri District, Telangana",9010077395,A/C ROOM,6,1600,1600,1600,1600,1600,1600,1600
KONDAGATTU HARITHA HOTEL,KONDAGATTU,"Haritha Hotel Kondagattu, Kondagattu, Jagitial District, Telangana",9493370431,A/C ROOM,4,999,999,999,999,999,999,999
KONDAGATTU HARITHA HOTEL,KONDAGATTU,"Haritha Hotel Kondagattu, Kondagattu, Jagitial District, Telangana",9493370431,NON A/C ROOM,5,599,599,599,599,599,599,599
KOTHAKONDA HARITHA HOTEL,KOTHAKONDA,"Kothakonda, Warangal Rural",9014709313,NON A/C ROOM,8,699,699,699,699,699,699,699
LAKNAVARAM,LAKNAVARAM,"Haritha Hotel Laknavaram, Govindarao Pet, Warangal Rural District, Telangana",9642454454,A/C DELUXE,10,2800,2800,2800,2800,2800,2800,2800
LAKNAVARAM,LAKNAVARAM,"Haritha Hotel Laknavaram, Govindarao Pet, Warangal Rural District, Telangana",9642454454,NON A/C ROOM,4,1800,1800,1800,1800,1800,1800,1800
LAKNAVARAM,LAKNAVARAM,"Haritha Hotel Laknavaram, Govindarao Pet, Warangal Rural District, Telangana",9642454454,A/C Glass Room (Island) ,2,3000,3000,3000,3000,3000,3000,3000
MANNANUR HARITHA HOTEL,MANNANUR,"Mannanur, Nagarkurnool Dist",9573758636,NON A/C 4 BEDDED ROOM,3,1785,1785,1785,1785,1785,1785,1785
MANNANUR HARITHA HOTEL,MANNANUR,"Mannanur, Nagarkurnool Dist",9573758636,NON A/C ROOM 2 BEDDED,4,1070,1070,1070,1070,1070,1070,1070
"MEDAK FORT,HARITHA HERITAGE HOTEL",MEDAK,"Haritha Hotel Medak, Medak Fort, Medak District, Telangana",9133533917,A/C SUITE,1,1500,1500,1500,1500,1500,1500,1500
"MEDAK FORT,HARITHA HERITAGE HOTEL",MEDAK,"Haritha Hotel Medak, Medak Fort, Medak District, Telangana",9133533917,A/C STANDARD,2,1200,1200,1200,1200,1200,1200,1200
MEDARAM,MEDARAM,"Haritha Hotel Medaram, Medaram, Warangal Rural District, Telangana",9989178402,A/C SUITE,2,2800,2800,2800,2800,2800,2800,2800
MEDARAM,MEDARAM,"Haritha Hotel Medaram, Medaram, Warangal Rural District, Telangana",9989178402,NON A/C ROOM,6,999,999,999,999,999,999,999
MEDARAM,MEDARAM,"Haritha Hotel Medaram, Medaram, Warangal Rural District, Telangana",9989178402,A/C ROOM,2,1785,1785,1785,1785,1785,1785,1785
PAKHALA HARITHA HOTEL,PAKAL,"Haritha Hotel Pakhala, Pakhala, Warangal Rural District, Telangana",9848644969,TENTED COTTAGES,2,1160,999,999,999,999,1160,1160
PAKHALA HARITHA HOTEL,PAKAL,"Haritha Hotel Pakhala, Pakhala, Warangal Rural District, Telangana",9848644969,GLASS COTTAGES,2,1340,1200,1200,1200,1200,1340,1340
POCHAMPALLY HARITHA HOTEL,POCHAMPALLY,"Haritha Hotel Pochampally, Pochampally, Yadadri Bhuvanagiri District, Telangana",9010264700,NON A/C DORMITORY 4 BEDDED,2,750,750,750,750,750,750,750
POCHAMPALLY HARITHA HOTEL,POCHAMPALLY,"Haritha Hotel Pochampally, Pochampally, Yadadri Bhuvanagiri District, Telangana",9010264700,CONFERENCE HALL,1,1000,1000,1000,1000,1000,1000,1000
POCHAMPALLY HARITHA HOTEL,POCHAMPALLY,"Haritha Hotel Pochampally, Pochampally, Yadadri Bhuvanagiri District, Telangana",9010264700,A/C ROOM,1,950,950,950,950,950,950,950
POCHAMPALLY HARITHA HOTEL,POCHAMPALLY,"Haritha Hotel Pochampally, Pochampally, Yadadri Bhuvanagiri District, Telangana",9010264700,NON A/C DELUXE,2,700,700,700,700,700,700,700
RAMAPPA,RAMMAPPA,"Haritha Hotel Ramappa, Ramappa, Warangal Rural District, Telangana",8686949515,NON A/C ROOM  (OLD),4,1050,900,900,900,900,1050,1050
